months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
86,24,tQ9808,TX,100/300,1000,1476.45,2000000,14078,MALE,Associate,Doctor,Gaming,Married,247.86,3682.82,2023-01-17,Parked Car,No Collision,Major Damage,Ambulance,CA,West Darrell,"4935 Grace Walk, Williamview, AR 12598",22,1,NO,0,3,YES,10779.07,13817.55,5570.05,12397.78,Ford,Model B,2000,Y
52,39,Xi4005,TX,250/500,1000,916.03,2000000,84008,FEMALE,PhD,Lawyer,Reading,Single,8770.38,1306.08,2024-01-29,Parked Car,Rear Collision,Minor Damage,Other,TX,Evanmouth,"011 Amy Village Suite 982, Andersonport, WY 05730",23,2,NO,2,0,NO,45075.73,3256.14,1143.6,6822.83,Chevrolet,Model B,2011,N
9,60,XJ3315,TX,100/300,1000,1197.05,0,53765,FEMALE,PhD,Lawyer,Cooking,Married,4024.0,1478.28,2023-07-08,Multi-vehicle Collision,Side Collision,Trivial Damage,Other,CA,East Michelle,"Unit 2602 Box 5634, DPO AE 92418",19,3,NO,1,0,NO,15058.77,6733.38,8909.78,9993.23,Honda,Model D,2014,Y
66,48,mD6073,CA,100/300,500,855.41,2000000,46331,FEMALE,High School,Doctor,Traveling,Single,8065.63,736.77,2021-05-23,Single Vehicle Collision,Side Collision,Trivial Damage,Police,FL,Loribury,"5414 May Locks, Sheilaville, KS 23906",13,3,,0,3,NO,20582.99,2639.78,10470.52,13443.57,Toyota,Model D,2007,Y
103,62,Bw4019,IL,500/1000,500,1101.67,0,95992,FEMALE,Associate,Manager,Sports,Divorced,5954.52,4750.2,2025-05-30,Vehicle Theft,No Collision,Trivial Damage,Fire,FL,Samuelhaven,"0608 Michael Cliff, Cindyville, ME 66970",14,2,YES,2,2,,24745.25,3969.07,6878.15,10846.4,Ford,Model C,2010,N
115,52,Ji6564,NY,250/500,500,808.14,2000000,25645,MALE,Associate,Engineer,Cooking,Married,3308.81,2329.62,2023-02-07,Single Vehicle Collision,Side Collision,Trivial Damage,Other,IL,Ortegafurt,"946 Kevin Fords, Floydmouth, NV 58455",22,1,,1,3,YES,47194.34,4829.88,6154.81,13428.8,Honda,Model B,2015,Y
35,45,sG8721,FL,250/500,1000,902.52,2000000,87513,FEMALE,Associate,Manager,Gaming,Divorced,5341.24,4534.64,2022-04-16,Single Vehicle Collision,Rear Collision,Trivial Damage,Fire,FL,Clarencebury,"20037 Stanley Roads, Lake Heather, MO 32480",5,1,NO,1,2,YES,23280.27,5393.76,13254.78,4534.72,Honda,Model C,2002,N
3,65,lZ0163,IL,250/500,1000,801.8,0,91715,MALE,High School,Doctor,Gaming,Single,6213.36,1192.72,2021-09-23,Vehicle Theft,Rear Collision,Major Damage,Other,TX,Williamsbury,"PSC 1727, Box 8895, APO AA 80802",11,1,,2,0,YES,48271.32,2067.43,872.34,5023.38,Honda,Model D,2022,Y
10,55,VE6872,CA,250/500,2000,1295.23,2000000,59492,MALE,PhD,Engineer,Traveling,Divorced,4283.78,1852.85,2024-10-07,Parked Car,Rear Collision,Trivial Damage,Other,NY,Karenview,"347 Jennifer Freeway Suite 558, East Edwardfurt, FL 93092",13,2,,1,1,NO,9630.71,8065.33,9931.63,9430.73,Chevrolet,Model D,2014,N
106,64,ID1665,IL,500/1000,1000,1366.54,0,54997,FEMALE,Master,Doctor,Cooking,Divorced,6103.32,1894.95,2022-04-17,Single Vehicle Collision,No Collision,Total Loss,Fire,FL,East Marissafurt,"PSC 9096, Box 7054, APO AA 55422",6,2,NO,1,2,,35358.0,4505.89,647.19,14246.91,Toyota,Model B,2023,N
63,53,or8937,CA,100/300,1000,1181.31,1000000,57626,FEMALE,High School,Engineer,Traveling,Single,4044.01,1216.53,2025-01-19,Parked Car,No Collision,Total Loss,Other,IL,Johnsonmouth,"272 Rebecca Ramp Apt. 162, Whiteview, MD 28243",10,2,,1,2,NO,13318.78,2249.51,3292.47,2233.54,Chevrolet,Model B,2006,Y
95,48,WA5564,TX,100/300,2000,1478.95,2000000,33566,FEMALE,High School,Doctor,Traveling,Single,3608.81,1511.34,2024-05-04,Multi-vehicle Collision,Front Collision,Minor Damage,Police,IL,South Andrewside,"10033 Christine Garden Apt. 719, South Holly, MN 22493",9,3,YES,2,3,YES,43763.27,8823.93,7306.26,6886.8,Ford,Model A,2008,N
15,70,bt2419,NY,500/1000,1000,666.67,2000000,75971,MALE,Associate,Doctor,Sports,Married,851.81,1240.95,2021-06-12,Vehicle Theft,Side Collision,Trivial Damage,Other,FL,Sandersborough,"49190 Patel Shore, Caseymouth, MT 64752",9,3,NO,1,0,,48045.33,1938.89,11559.69,9569.97,BMW,Model A,2005,Y
23,53,Bl6572,NY,250/500,500,967.67,2000000,96681,FEMALE,Bachelor,Engineer,Gaming,Married,7069.56,3514.94,2021-05-15,Vehicle Theft,Rear Collision,Major Damage,Ambulance,IL,Christinaside,"9453 Joshua Mission Apt. 799, Rogersfort, MD 24335",21,1,NO,0,1,,8300.48,4351.67,2562.43,1364.75,BMW,Model C,2014,Y
60,62,rM3545,TX,100/300,1000,1448.41,2000000,92406,FEMALE,Master,Engineer,Sports,Single,8894.23,3672.67,2024-08-14,Parked Car,Rear Collision,Minor Damage,Fire,IL,Angelahaven,"USS Allen, FPO AA 64539",18,1,,1,0,YES,24054.54,9946.89,13783.06,3131.59,Chevrolet,Model D,2020,N
12,48,Yb3777,TX,500/1000,1000,888.95,0,12697,MALE,Bachelor,Manager,Cooking,Married,6625.84,2002.26,2025-03-12,Single Vehicle Collision,No Collision,Minor Damage,Ambulance,TX,Jeffreybury,"8856 Bell Motorway Suite 443, Lake Jamesville, ND 90962",10,1,NO,2,0,,43599.01,7198.66,1285.96,8017.37,Chevrolet,Model D,2020,N
98,21,UL3374,CA,500/1000,2000,717.91,1000000,69266,FEMALE,Master,Engineer,Reading,Divorced,6088.72,1196.49,2022-01-18,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NY,Tinaborough,"40824 Terri Plaza Suite 271, New Justinfort, MA 24665",7,1,NO,0,1,NO,46700.0,4731.99,10728.47,6524.61,Honda,Model D,2007,N
71,27,zF4711,FL,250/500,2000,1057.42,0,10211,MALE,Bachelor,Manager,Traveling,Divorced,2671.73,12.83,2020-11-28,Parked Car,No Collision,Major Damage,Other,IL,East Edwardshire,"USS Mcknight, FPO AE 73648",15,2,NO,2,3,NO,46709.76,13109.22,14721.23,3962.68,Honda,Model B,2013,Y
41,65,XH9993,FL,100/300,1000,947.47,2000000,50357,MALE,Master,Engineer,Gaming,Divorced,9653.54,1659.97,2024-01-06,Single Vehicle Collision,No Collision,Minor Damage,Other,NY,Kerrport,"9909 Stacey Fords Apt. 412, East Andrea, AL 54046",23,1,NO,2,1,YES,24005.04,14553.45,5409.14,10544.22,Toyota,Model C,2021,N
41,58,os9740,FL,100/300,500,1155.71,0,93163,FEMALE,Associate,Engineer,Cooking,Single,7603.7,3519.45,2024-04-21,Single Vehicle Collision,No Collision,Major Damage,Ambulance,NY,Jacquelinemouth,"9361 Deborah Grove, North Brian, ME 78494",1,2,YES,1,2,NO,22103.65,4040.86,6474.75,10386.11,Ford,Model B,2005,Y
79,42,St4717,IL,100/300,500,1047.9,2000000,92216,MALE,Associate,Manager,Traveling,Married,2553.27,46.99,2025-04-25,Vehicle Theft,Front Collision,Major Damage,Police,FL,Benderhaven,"90659 Johnson Forks Apt. 490, South April, KY 24289",11,3,NO,2,3,,13254.81,12756.91,3388.65,6078.05,Honda,Model A,2007,N
74,40,wA6717,IL,500/1000,2000,865.71,2000000,44188,FEMALE,Bachelor,Engineer,Sports,Divorced,7783.12,4868.01,2025-06-14,Vehicle Theft,Front Collision,Major Damage,Ambulance,CA,Elizabethburgh,"6807 Leonard Islands Apt. 680, Gutierrezborough, MN 82110",20,1,,1,1,,5761.03,9598.14,1071.63,11934.85,Toyota,Model C,2023,Y
12,36,Ji7034,TX,100/300,1000,758.08,0,38253,FEMALE,PhD,Clerk,Traveling,Single,2569.7,4123.45,2024-09-17,Vehicle Theft,Front Collision,Total Loss,Police,FL,Gilmorefort,"248 Andrea Course, Port Robin, DE 85397",2,1,YES,2,3,,18922.98,11964.89,701.82,8280.3,Honda,Model C,2021,N
75,42,AE7484,TX,250/500,2000,810.44,0,62395,FEMALE,PhD,Doctor,Reading,Divorced,8238.55,4546.94,2021-10-13,Parked Car,No Collision,Minor Damage,Fire,NY,South Andrea,"46584 Justin Hills, Grimesmouth, NJ 45737",1,2,NO,0,0,YES,44475.71,2467.13,7077.83,10222.05,Chevrolet,Model D,2018,Y
114,44,um8867,NY,500/1000,2000,967.3,1000000,91923,MALE,Bachelor,Doctor,Cooking,Married,9505.55,4277.25,2023-04-20,Single Vehicle Collision,Front Collision,Total Loss,Police,FL,New Patrick,"57662 Hanna Crossroad Suite 171, Smithberg, SD 20733",8,1,YES,1,0,,11393.18,9772.65,14580.85,1233.39,BMW,Model B,2004,Y
9,66,Sz7459,IL,250/500,2000,794.36,0,85676,FEMALE,Associate,Clerk,Reading,Married,8584.06,723.44,2021-02-09,Multi-vehicle Collision,Front Collision,Major Damage,Police,NY,Port Markside,"780 Jimmy Spur Suite 316, Port Cynthiaville, GA 91465",4,1,NO,0,2,YES,9538.06,1259.79,11254.91,8128.24,Toyota,Model D,2014,N
66,55,sw0050,NY,500/1000,2000,799.39,2000000,49632,MALE,PhD,Lawyer,Cooking,Divorced,9640.26,304.13,2023-01-08,Vehicle Theft,No Collision,Trivial Damage,Police,FL,Thomashaven,"21969 Tyler Prairie, East Steven, NH 33967",22,2,YES,0,2,,8268.36,2329.78,9552.6,8987.79,BMW,Model D,2019,N
59,50,eC7482,IL,500/1000,500,1313.79,0,45794,MALE,Master,Manager,Gaming,Married,3389.32,2267.49,2020-07-21,Vehicle Theft,Rear Collision,Total Loss,Other,TX,Daniellechester,"3671 Patrick Knolls Suite 406, Alanton, PA 98172",21,2,NO,0,3,YES,5470.01,1737.78,6762.21,11296.54,BMW,Model B,2017,Y
76,53,oO4395,IL,500/1000,2000,710.01,1000000,25421,FEMALE,High School,Lawyer,Sports,Married,3516.46,2889.59,2024-09-12,Multi-vehicle Collision,Side Collision,Trivial Damage,Fire,NY,Ericaberg,"7095 Christopher Hill, Julieburgh, DC 71202",11,3,NO,0,2,,12081.8,6722.13,8634.0,11627.77,Chevrolet,Model A,2019,N
4,29,qE8842,TX,100/300,1000,1429.38,1000000,39185,MALE,Associate,Doctor,Sports,Divorced,4007.84,709.37,2023-08-02,Single Vehicle Collision,Rear Collision,Major Damage,Other,FL,Lindamouth,"USNS Webster, FPO AE 89148",14,2,YES,1,2,,16894.76,14150.41,9145.24,13308.46,Ford,Model B,2019,Y
87,23,aq8516,TX,500/1000,2000,981.61,2000000,70830,FEMALE,Master,Lawyer,Gaming,Divorced,1138.18,2149.57,2023-11-08,Parked Car,No Collision,Total Loss,Police,CA,South Miguelview,"37098 Herman Forges Apt. 746, East Brandonton, NM 15721",12,3,YES,0,1,NO,47320.88,11626.57,11580.33,4696.98,Toyota,Model A,2015,N
23,26,Dx3826,FL,100/300,2000,807.1,2000000,88382,FEMALE,High School,Manager,Reading,Married,187.42,4605.81,2021-04-19,Parked Car,No Collision,Trivial Damage,Other,TX,Matthewsberg,"9640 Robinson Mills, Port Michael, MN 71865",3,2,YES,1,1,,23544.75,10499.35,5746.86,6832.32,Toyota,Model B,2013,N
68,23,hD0643,FL,500/1000,2000,905.56,1000000,12516,MALE,High School,Clerk,Reading,Divorced,5099.52,4529.61,2023-07-11,Parked Car,Front Collision,Major Damage,Fire,NY,Lake Danielle,"Unit 0532 Box 9318, DPO AE 77359",4,2,YES,0,1,,4692.31,14293.74,9605.26,7227.32,Chevrolet,Model D,2021,N
111,58,ar3529,TX,250/500,1000,661.46,1000000,19465,FEMALE,Bachelor,Clerk,Reading,Married,5073.37,1552.04,2022-04-23,Vehicle Theft,Rear Collision,Minor Damage,Ambulance,TX,New John,"05395 Grant Center, Lake Robert, WA 08831",2,3,YES,2,3,NO,29436.14,14336.36,11214.36,1094.83,Chevrolet,Model B,2010,N
65,27,gC7589,NY,500/1000,500,1329.87,1000000,66540,MALE,PhD,Doctor,Reading,Single,7076.22,4954.93,2024-07-10,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,FL,New Bradley,"0076 Parks Overpass Suite 115, North David, SC 77225",13,2,,2,0,,32717.96,1455.72,1870.34,10336.5,BMW,Model C,2023,Y
43,23,sD5698,IL,100/300,500,1425.07,1000000,66764,FEMALE,Associate,Clerk,Reading,Married,5589.22,3217.47,2025-02-19,Parked Car,Side Collision,Minor Damage,Other,IL,Garciaville,"7365 Ross Stream, West Ronaldview, FL 90524",11,1,NO,1,1,YES,17744.88,11609.27,3284.08,14999.66,Ford,Model A,2009,Y
65,67,Bg1111,IL,100/300,2000,633.97,1000000,98095,MALE,PhD,Manager,Gaming,Single,1808.46,3464.23,2024-07-04,Multi-vehicle Collision,No Collision,Minor Damage,Other,TX,Lisaside,"165 Parrish Stravenue Apt. 494, Dalehaven, FL 86580",21,3,YES,1,2,,39406.22,3893.04,3967.94,14501.15,Honda,Model B,2011,N
60,67,xh3158,TX,500/1000,2000,1074.71,0,37013,MALE,PhD,Doctor,Traveling,Single,6411.79,4370.58,2024-07-29,Single Vehicle Collision,Rear Collision,Total Loss,Police,CA,Port Roy,"402 Park Inlet, Michaelburgh, FL 74729",8,2,,0,3,YES,47374.25,3719.55,7041.36,5568.98,Toyota,Model D,2001,N
65,41,VH1201,CA,500/1000,500,937.42,0,28698,FEMALE,High School,Lawyer,Gaming,Single,383.03,4586.98,2023-11-19,Vehicle Theft,Side Collision,Trivial Damage,Other,IL,Barnesmouth,"599 Nicole Drives Apt. 901, Scottchester, PA 58440",0,1,YES,1,1,YES,27891.41,11044.9,8152.69,2112.21,BMW,Model B,2009,Y
7,33,wB4381,FL,100/300,2000,1011.4,0,15035,FEMALE,PhD,Clerk,Reading,Divorced,5153.76,1209.69,2023-12-30,Multi-vehicle Collision,Front Collision,Trivial Damage,Police,IL,Erikashire,"36900 Kevin Forest Apt. 445, North Tylerchester, DC 50335",11,1,,1,1,,33742.53,8090.53,5728.75,14324.35,Chevrolet,Model A,2012,N
6,58,ez3885,FL,500/1000,1000,1272.58,1000000,97761,MALE,Bachelor,Doctor,Reading,Divorced,7351.87,1662.59,2025-01-01,Single Vehicle Collision,Front Collision,Total Loss,Fire,FL,South Andrewland,"664 Richard Islands Apt. 975, South Meganbury, OR 52988",22,2,,0,1,YES,36086.21,14182.27,1036.26,3423.07,Ford,Model A,2010,N
66,43,ov1645,IL,500/1000,1000,632.96,2000000,22538,MALE,Bachelor,Lawyer,Reading,Divorced,3319.25,622.38,2024-12-05,Parked Car,No Collision,Trivial Damage,Other,FL,New Cynthiahaven,"2312 Gonzalez Rapids Apt. 127, Webstershire, TX 74490",10,1,NO,2,3,NO,46291.21,8029.5,12116.65,11042.68,Toyota,Model D,2019,Y
70,36,EC5271,TX,250/500,500,895.13,1000000,83257,FEMALE,Master,Clerk,Cooking,Single,6897.65,1757.73,2023-03-23,Single Vehicle Collision,Front Collision,Trivial Damage,Ambulance,NY,Laurashire,"7700 Decker Club, New Brookefurt, OR 73156",2,3,,1,2,,40253.7,10351.45,14315.45,2570.3,Chevrolet,Model D,2001,Y
9,33,ME7935,TX,500/1000,1000,1454.52,0,66216,MALE,Master,Lawyer,Traveling,Married,7630.84,2869.61,2020-10-27,Parked Car,No Collision,Total Loss,Ambulance,CA,North Shannon,"182 John Mill Suite 889, West Nathan, MS 54079",3,1,,0,3,,19962.38,8644.25,4295.76,4274.2,Honda,Model B,2019,N
89,49,vg9051,CA,250/500,500,1367.54,1000000,73634,MALE,Master,Engineer,Traveling,Divorced,3474.25,324.7,2023-05-09,Parked Car,Front Collision,Major Damage,Fire,TX,Mitchellberg,"4629 Kyle Lane, Lisahaven, SD 88379",16,1,YES,0,1,YES,39728.28,881.12,8533.31,5849.21,Chevrolet,Model B,2019,Y
9,37,tl8505,FL,100/300,2000,1030.8,1000000,28575,FEMALE,PhD,Engineer,Gaming,Married,6423.39,2249.87,2024-01-28,Parked Car,Side Collision,Major Damage,Fire,FL,Staceyfort,"14188 Ebony Wells, New Nicholas, HI 91313",16,1,YES,2,1,NO,9068.2,5178.58,10785.32,5517.33,Chevrolet,Model C,2002,N
26,58,RU7065,IL,500/1000,500,1162.52,2000000,31634,MALE,PhD,Doctor,Sports,Divorced,1541.94,3293.66,2021-11-18,Parked Car,Rear Collision,Minor Damage,Police,NY,Bishopmouth,"7359 Murray Haven, Shawchester, ID 79755",20,3,NO,2,1,,21412.75,9765.37,7721.55,9593.88,BMW,Model C,2015,Y
104,69,Jg4075,FL,500/1000,1000,665.68,0,93745,MALE,Master,Manager,Cooking,Married,2040.23,3033.3,2021-08-25,Parked Car,Front Collision,Total Loss,Other,CA,West Christopherburgh,"1375 Robert Locks, Joeland, IN 04195",11,3,,0,2,YES,23857.16,4378.34,4094.82,1903.77,BMW,Model D,2019,N
32,28,cs1522,TX,100/300,2000,881.44,0,62426,FEMALE,PhD,Manager,Cooking,Married,4973.7,450.25,2023-03-09,Vehicle Theft,No Collision,Major Damage,Fire,IL,Port Janice,"04328 Rodriguez Heights, West David, MT 84249",11,1,YES,1,3,,44234.63,9986.77,7323.51,8282.02,Toyota,Model D,2004,N
94,41,Ib1179,FL,500/1000,500,960.52,2000000,83332,MALE,Bachelor,Clerk,Traveling,Single,3863.49,2251.77,2024-05-12,Parked Car,Rear Collision,Major Damage,Police,FL,Lake Douglas,"96218 Jones Pine Apt. 670, Zavalaview, AK 47306",11,2,,1,1,YES,30520.68,6320.11,1083.7,1064.25,BMW,Model D,2016,N
20,56,VW5319,IL,250/500,1000,1438.23,1000000,44084,MALE,Master,Clerk,Traveling,Divorced,3363.73,4141.45,2021-01-17,Vehicle Theft,Front Collision,Trivial Damage,Police,TX,North Michael,"772 Bryan Trail, Johnsonborough, WY 26645",10,3,YES,1,2,,43732.86,9624.28,9155.19,4350.19,Chevrolet,Model B,2023,Y
75,48,IE5486,CA,100/300,2000,1249.06,1000000,33703,MALE,Associate,Engineer,Sports,Divorced,1098.96,94.69,2020-10-30,Parked Car,No Collision,Major Damage,Other,CA,Port Deborahport,"541 Kim Locks, Klinefurt, HI 65539",13,3,,1,0,,7766.04,3506.45,5213.22,10102.29,Chevrolet,Model D,2010,Y
59,52,UB5841,TX,100/300,1000,1208.28,2000000,10846,FEMALE,PhD,Manager,Gaming,Single,2790.06,1492.5,2024-09-14,Parked Car,Front Collision,Major Damage,Other,TX,Morrisonburgh,"15447 Jackson Mills Suite 705, Hillton, TN 84061",15,2,,2,2,NO,6971.83,10311.02,6005.57,14712.33,BMW,Model B,2009,Y
37,63,jM5820,NY,500/1000,1000,1190.37,2000000,89379,FEMALE,Associate,Doctor,Sports,Married,9330.24,3480.86,2023-12-06,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,Johnsonland,"6909 Erika Land Suite 719, New Michael, SD 37029",21,3,YES,2,1,YES,5909.7,5289.26,7349.86,10377.28,Ford,Model A,2017,Y
53,59,Hy1027,FL,500/1000,2000,779.51,1000000,74120,FEMALE,Bachelor,Engineer,Reading,Divorced,5741.33,2675.76,2022-08-06,Single Vehicle Collision,Side Collision,Trivial Damage,Fire,NY,West Kimberlymouth,"731 Melissa Mission Apt. 715, Jennaside, LA 39816",12,2,YES,2,2,YES,1454.09,8735.45,2055.86,14753.41,BMW,Model D,2020,N
114,26,hm2583,IL,500/1000,1000,773.53,0,18703,FEMALE,Associate,Manager,Traveling,Divorced,1861.99,3683.09,2021-10-24,Parked Car,Side Collision,Major Damage,Other,FL,Port Troy,"8291 Kyle Stravenue Suite 866, East Teresaland, NH 89644",16,2,YES,1,0,YES,49102.57,7423.08,14069.47,599.04,Honda,Model B,2014,N
43,37,lX5289,IL,100/300,2000,610.29,2000000,17413,FEMALE,Associate,Engineer,Reading,Married,3068.06,2027.08,2024-11-15,Parked Car,Rear Collision,Total Loss,Ambulance,IL,Shawton,"2253 Meza Path, Meghanview, SC 72700",7,1,YES,1,1,NO,37639.01,9283.21,6529.76,8463.9,Honda,Model B,2007,Y
68,46,fG2498,IL,100/300,1000,670.29,2000000,84516,MALE,High School,Clerk,Sports,Single,5727.02,749.26,2022-10-22,Parked Car,No Collision,Minor Damage,Fire,IL,New Shelly,"001 Stacy Trail Suite 396, South Pamelaside, SD 40097",15,1,,1,0,NO,7465.27,6523.66,8676.71,8602.56,BMW,Model A,2012,N
105,18,eS3647,CA,100/300,500,640.76,1000000,08353,MALE,PhD,Engineer,Reading,Married,317.35,2044.33,2024-07-31,Multi-vehicle Collision,No Collision,Total Loss,Other,FL,South Robert,"255 Hester Curve Suite 881, Johnville, NV 32996",12,2,YES,2,1,,43154.04,2220.18,14896.28,6199.35,Ford,Model B,2000,Y
39,47,NA1046,IL,500/1000,2000,941.35,0,33042,MALE,Master,Lawyer,Gaming,Married,1884.8,4376.04,2021-09-02,Single Vehicle Collision,Rear Collision,Trivial Damage,Police,CA,Port Mark,"27877 Jimenez Course Suite 873, New Michael, LA 65367",6,1,YES,2,0,NO,30291.46,10697.65,1205.81,11237.85,Honda,Model D,2007,Y
97,67,Bi4801,NY,250/500,2000,1494.14,0,35165,FEMALE,PhD,Clerk,Traveling,Single,3017.64,716.3,2024-06-23,Multi-vehicle Collision,No Collision,Total Loss,Ambulance,NY,Kathrynstad,"835 Jones Parkways, Duranview, RI 89682",17,3,,0,3,,25285.42,14598.21,14153.0,10234.47,Chevrolet,Model C,2022,N
53,27,Yv2165,TX,500/1000,500,1278.97,1000000,73617,MALE,Associate,Lawyer,Gaming,Married,9147.41,2811.93,2021-06-26,Vehicle Theft,Side Collision,Trivial Damage,Fire,TX,Kariborough,"000 Jennifer Unions Suite 872, West Sarah, GA 52006",6,2,,0,3,NO,5530.74,11006.48,3261.98,4392.69,Chevrolet,Model A,2002,Y
103,66,IF9588,IL,100/300,2000,1102.97,1000000,93396,MALE,Bachelor,Lawyer,Reading,Single,9371.6,4810.39,2023-01-07,Single Vehicle Collision,No Collision,Major Damage,Fire,FL,Thomastown,"9409 Baker Shoal, Lake Brett, GA 69213",7,3,NO,1,3,NO,27148.86,5709.26,4292.64,7935.84,Honda,Model D,2003,N
98,38,Sh2309,CA,500/1000,1000,972.54,2000000,25507,MALE,Associate,Engineer,Traveling,Divorced,9347.58,2895.71,2023-09-16,Vehicle Theft,Front Collision,Major Damage,Fire,TX,South Leeberg,"8970 April Points, Whitneyfort, MS 41625",7,2,,0,3,,33075.79,10430.28,4231.24,12413.08,Honda,Model D,2005,N
22,26,wR7858,IL,500/1000,500,1425.21,2000000,94994,MALE,PhD,Engineer,Reading,Divorced,485.14,31.92,2021-12-12,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Chelseaborough,"USNV Grant, FPO AE 39509",6,3,NO,1,0,,32248.7,14041.6,13734.9,10059.62,Toyota,Model A,2017,N
