customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,MonthlyCharges,TotalCharges,Churn
CUST00171,Female,0,No,Yes,32,Yes,Yes,No,81.4,2602.51,No
CUST00172,Male,0,No,Yes,32,Yes,No,DSL,66.95,2139.36,No
CUST00173,Male,0,No,No,24,Yes,No,Fiber optic,109.7,2641.09,No
CUST00174,Female,0,No,Yes,13,No,No,No,71.96,932.07,Yes
CUST00175,Female,1,No,No,37,Yes,No,DSL,114.29,4227.37,No
CUST00176,Female,0,No,No,37,Yes,No,No,55.33,2038.77,No
CUST00177,Male,0,No,Yes,3,Yes,No,DSL,116.69,359.18,No
CUST00178,Male,0,No,No,61,Yes,No,DSL,107.52,6550.42,No
CUST00179,Male,0,Yes,No,9,Yes,No,Fiber optic,78.43,711.29,Yes
CUST00180,Male,0,Yes,Yes,34,Yes,No,DSL,55.37,1883.35,No
CUST00181,Male,0,No,No,22,Yes,Yes,Fiber optic,57.59,1258.21,No
CUST00182,Male,0,No,No,64,No,No,No,97.28,6215.95,No
CUST00183,Female,0,No,No,24,Yes,No,No,78.06,1882.15,Yes
CUST00184,Male,0,Yes,Yes,52,No,No,Fiber optic,60.16,3133.16,No
CUST00185,Male,0,Yes,No,16,Yes,No,No,83.61,1341.49,Yes
CUST00186,Male,0,No,No,56,Yes,No,Fiber optic,93.32,5224.69,No
CUST00187,Female,0,No,No,19,Yes,No,DSL,22.29,418.28,No
CUST00188,Male,0,Yes,Yes,24,Yes,No,Fiber optic,28.99,699.36,Yes
CUST00189,Male,0,Yes,No,41,Yes,Yes,Fiber optic,29.45,1209.62,Yes
CUST00190,Female,0,No,No,44,Yes,No,Fiber optic,43.19,1904.89,No
CUST00191,Male,0,Yes,No,30,Yes,No,Fiber optic,62.7,1878.32,No
CUST00192,Male,0,No,No,64,Yes,No,Fiber optic,100.36,6432.78,Yes
CUST00193,Male,0,Yes,No,51,Yes,No,Fiber optic,55.11,2801.95,No
CUST00194,Male,0,No,No,20,Yes,No,No,21.75,426.59,Yes
CUST00195,Male,1,No,No,29,No,No,Fiber optic,68.34,1990.2,No
CUST00196,Female,0,No,No,2,Yes,No,DSL,119.66,242.27,No
CUST00197,Female,0,Yes,Yes,69,Yes,No,Fiber optic,54.9,3784.63,No
CUST00198,Female,0,No,No,42,Yes,No,DSL,116.13,4882.7,No
CUST00199,Male,0,Yes,No,28,Yes,No,No,30.13,842.7,No
CUST00200,Male,0,Yes,Yes,2,Yes,No,DSL,37.31,65.04,No
CUST00201,Male,0,No,No,57,Yes,No,DSL,92.41,5270.39,No
CUST00202,Female,1,No,Yes,32,Yes,No,DSL,70.12,2238.7,Yes
CUST00203,Male,0,No,No,44,Yes,No,DSL,96.51,4238.75,No
CUST00204,Male,0,Yes,No,68,Yes,No,Fiber optic,106.36,7226.99,No
CUST00205,Female,0,Yes,Yes,31,Yes,No,DSL,45.11,1397.93,No
CUST00206,Male,0,Yes,No,51,Yes,No,No,88.28,4493.28,No
CUST00207,Female,0,No,Yes,63,Yes,No,Fiber optic,80.76,5095.54,No
CUST00208,Female,0,No,No,39,Yes,Yes,DSL,106.15,4141.05,No
CUST00209,Female,0,No,No,12,Yes,No,Fiber optic,63.01,751.98,No
CUST00210,Male,0,No,No,28,No,No,Fiber optic,25.19,709.06,No
CUST00211,Male,0,Yes,Yes,62,Yes,No,Fiber optic,77.42,4806.12,No
CUST00212,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,115.89,2899.53,No
CUST00213,Male,0,Yes,No,58,Yes,No,DSL,21.46,1238.73,Yes
CUST00214,Male,0,Yes,No,48,Yes,Yes,Fiber optic,44.03,2105.65,Yes
CUST00215,Male,0,Yes,Yes,52,Yes,No,DSL,51.61,2690.92,No
CUST00216,Male,0,No,Yes,30,Yes,No,Fiber optic,96.58,2892.09,Yes
CUST00217,Female,0,Yes,Yes,11,Yes,No,No,52.33,566.03,No
CUST00218,Male,1,No,No,57,No,No,DSL,43.91,2505.73,No
CUST00219,Female,0,Yes,No,35,Yes,No,Fiber optic,84.86,2963.16,No
CUST00220,Male,0,No,Yes,9,Yes,No,DSL,24.64,231.58,No
CUST00221,Male,1,No,No,5,Yes,No,DSL,37.06,192.69,No
CUST00222,Male,0,No,Yes,6,Yes,No,Fiber optic,60.8,366.97,No
CUST00223,Female,0,Yes,No,30,Yes,No,Fiber optic,55.56,1673.48,No
CUST00224,Female,0,No,No,71,Yes,No,Fiber optic,54.72,3884.53,Yes
CUST00225,Female,0,No,No,2,Yes,No,DSL,30.86,67.49,No
CUST00226,Female,0,Yes,No,46,Yes,No,No,56.08,2582.61,No
CUST00227,Male,0,Yes,No,0,Yes,Yes,DSL,99.8,-9.43,Yes
CUST00228,Female,0,Yes,No,44,Yes,No,DSL,61.38,2709.7,No
CUST00229,Male,0,No,No,53,Yes,No,No,78.62,4174.08,No
CUST00230,Male,0,No,No,49,Yes,No,No,36.36,1790.71,Yes
CUST00231,Female,0,No,Yes,6,Yes,Yes,Fiber optic,26.97,166.45,Yes
CUST00232,Female,0,Yes,No,62,Yes,No,No,108.0,6694.24,Yes
CUST00233,Female,0,Yes,No,14,Yes,No,DSL,53.14,738.1,No
CUST00234,Female,1,No,Yes,66,Yes,Yes,DSL,55.03,3625.58,Yes
CUST00235,Female,1,Yes,Yes,29,Yes,No,No,107.77,3118.23,No
CUST00236,Female,0,No,No,67,Yes,No,No,90.78,6076.67,Yes
CUST00237,Female,1,No,Yes,35,Yes,Yes,DSL,95.63,3348.06,No
CUST00238,Female,0,Yes,No,66,Yes,No,DSL,88.2,5824.87,No
CUST00239,Male,1,No,No,4,Yes,No,DSL,30.58,118.6,No
CUST00240,Female,0,Yes,No,24,Yes,Yes,DSL,115.8,2780.17,No
CUST00241,Female,0,No,No,10,Yes,Yes,Fiber optic,110.91,1105.93,No
CUST00242,Male,0,Yes,No,71,Yes,No,Fiber optic,43.62,3100.95,No
CUST00243,Female,0,No,No,65,Yes,No,Fiber optic,100.4,6535.77,No
CUST00244,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,60.94,1649.16,Yes
CUST00245,Male,0,Yes,No,59,No,No,No,88.38,5205.6,No
CUST00246,Female,0,No,Yes,9,Yes,No,DSL,36.56,328.58,Yes
CUST00247,Male,0,Yes,Yes,49,Yes,No,Fiber optic,73.86,3624.55,No
CUST00248,Male,0,No,No,38,Yes,No,No,32.66,1241.92,No
CUST00249,Male,0,Yes,Yes,36,No,No,DSL,73.62,2659.34,No
CUST00250,Male,0,No,No,62,Yes,No,No,44.36,2741.42,No
CUST00251,Female,0,Yes,Yes,60,Yes,No,Fiber optic,65.25,3910.82,No
CUST00252,Male,0,No,Yes,37,Yes,No,DSL,86.8,3206.01,No
CUST00253,Female,0,Yes,Yes,32,Yes,Yes,DSL,107.71,3452.07,No
CUST00254,Male,0,Yes,Yes,44,Yes,Yes,Fiber optic,36.53,1607.8,No
CUST00255,Male,1,Yes,No,43,Yes,Yes,Fiber optic,109.33,4693.96,Yes
CUST00256,Male,0,No,No,0,Yes,No,Fiber optic,59.0,-4.29,Yes
CUST00257,Male,0,Yes,No,52,Yes,Yes,DSL,104.38,5428.21,Yes
CUST00258,Female,1,No,No,46,Yes,No,Fiber optic,71.25,3287.42,No
CUST00259,Female,0,No,Yes,32,Yes,No,DSL,106.22,3396.33,No
CUST00260,Male,0,Yes,No,66,Yes,Yes,DSL,86.28,5687.62,Yes
CUST00261,Male,0,No,Yes,14,Yes,No,DSL,70.87,992.12,Yes
CUST00262,Female,0,Yes,No,13,Yes,Yes,Fiber optic,51.25,662.45,No
CUST00263,Male,0,Yes,No,22,Yes,Yes,DSL,116.89,2572.9,No
CUST00264,Male,0,No,No,53,Yes,No,DSL,100.09,5304.1,No
CUST00265,Male,0,No,No,7,Yes,No,DSL,58.12,410.63,No
CUST00266,Female,1,No,No,53,Yes,No,DSL,36.67,1951.8,No
CUST00267,Female,0,Yes,No,35,No,No,DSL,97.95,3422.26,Yes
CUST00268,Female,0,Yes,No,51,Yes,No,Fiber optic,118.99,6074.91,No
CUST00269,Male,0,Yes,Yes,5,Yes,No,Fiber optic,47.9,248.49,No
CUST00270,Male,0,No,No,27,Yes,Yes,Fiber optic,111.59,3010.4,Yes
CUST00271,Female,0,No,No,49,Yes,No,Fiber optic,32.54,1586.73,No
CUST00272,Female,0,No,No,37,No,No,DSL,115.22,4269.58,Yes
CUST00273,Female,0,Yes,Yes,29,Yes,No,No,94.53,2745.39,No
CUST00274,Female,0,Yes,No,53,Yes,Yes,DSL,54.66,2891.23,No
CUST00275,Male,0,Yes,No,70,Yes,No,Fiber optic,50.46,3531.1,No
CUST00276,Female,0,Yes,No,45,Yes,No,No,84.34,3796.86,No
CUST00277,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,79.35,2135.85,No
CUST00278,Female,0,No,No,16,Yes,No,DSL,111.89,1794.54,No
CUST00279,Male,0,No,No,47,Yes,No,DSL,96.62,4544.94,No
CUST00280,Female,0,No,No,43,No,No,DSL,74.04,3191.46,No
CUST00281,Female,0,Yes,No,59,Yes,No,Fiber optic,112.76,6654.19,No
CUST00282,Female,0,Yes,No,59,Yes,Yes,Fiber optic,79.27,4678.42,Yes
CUST00283,Female,1,No,Yes,4,Yes,No,Fiber optic,104.97,422.27,No
CUST00284,Male,0,Yes,Yes,68,Yes,Yes,DSL,104.09,7073.6,No
CUST00285,Female,1,No,No,69,Yes,No,No,111.92,7727.65,Yes
CUST00286,Male,0,Yes,No,6,Yes,Yes,Fiber optic,26.76,163.81,No
CUST00287,Male,1,Yes,Yes,52,Yes,Yes,DSL,78.38,4082.54,No
CUST00288,Male,0,No,No,16,Yes,No,DSL,66.84,1074.81,No
CUST00289,Male,1,Yes,No,58,Yes,No,Fiber optic,69.05,4007.67,No
CUST00290,Female,1,No,No,8,Yes,No,Fiber optic,65.99,521.14,No
CUST00291,Male,0,No,Yes,21,Yes,Yes,DSL,103.75,2187.13,Yes
CUST00292,Male,1,Yes,Yes,44,Yes,No,DSL,51.84,2278.3,No
CUST00293,Male,0,Yes,No,58,Yes,No,Fiber optic,66.28,3853.53,No
CUST00294,Female,0,No,No,12,Yes,No,DSL,40.07,478.88,No
CUST00295,Female,0,No,No,11,Yes,Yes,DSL,45.17,489.79,Yes
CUST00296,Female,0,Yes,No,35,Yes,No,No,86.04,3019.1,Yes
CUST00297,Female,0,No,No,9,Yes,No,Fiber optic,31.69,291.11,No
CUST00298,Male,0,Yes,No,15,Yes,No,Fiber optic,38.78,587.43,No
CUST00299,Male,1,Yes,No,18,Yes,Yes,Fiber optic,72.8,1302.19,No
CUST00300,Female,0,Yes,No,5,No,No,Fiber optic,24.38,129.49,No
CUST00301,Male,0,Yes,No,3,Yes,No,Fiber optic,32.69,100.0,No
CUST00302,Male,1,Yes,Yes,29,Yes,No,No,106.34,3083.27,No
CUST00303,Male,1,No,No,45,No,No,DSL,104.61,4715.71,No
CUST00304,Female,1,Yes,Yes,26,No,No,DSL,54.78,1427.6,No
CUST00305,Female,0,Yes,No,44,Yes,Yes,DSL,54.8,2403.86,No
CUST00306,Male,1,Yes,No,36,Yes,No,Fiber optic,113.65,4091.79,Yes
CUST00307,Female,0,No,Yes,8,No,No,Fiber optic,22.58,183.37,No
CUST00308,Female,0,No,No,60,Yes,No,DSL,78.03,4689.77,No
CUST00309,Female,0,Yes,No,34,Yes,Yes,DSL,79.74,2706.76,No
CUST00310,Female,0,Yes,No,46,Yes,No,DSL,98.79,4550.22,No
CUST00311,Female,0,Yes,Yes,20,Yes,No,DSL,115.18,2309.6,No
CUST00312,Male,0,Yes,No,16,Yes,No,No,55.58,881.84,No
CUST00313,Female,0,Yes,Yes,54,Yes,No,Fiber optic,63.78,3434.46,Yes
CUST00314,Male,0,Yes,Yes,5,Yes,Yes,DSL,87.13,437.28,Yes
CUST00315,Male,0,Yes,Yes,34,Yes,No,DSL,116.73,3974.61,No
CUST00316,Female,0,No,Yes,49,Yes,Yes,DSL,109.08,5346.01,No
CUST00317,Male,0,Yes,No,36,Yes,No,Fiber optic,86.71,3127.83,Yes
CUST00318,Male,0,No,No,12,Yes,No,Fiber optic,105.67,1270.49,No
CUST00319,Male,0,No,No,24,Yes,Yes,No,28.52,687.55,No
CUST00320,Female,0,No,No,0,Yes,No,Fiber optic,57.71,-9.44,No
CUST00321,Female,1,Yes,Yes,48,Yes,No,Fiber optic,21.31,1014.65,No
CUST00322,Male,0,Yes,No,34,Yes,No,No,37.75,1288.0,Yes
CUST00323,Female,0,Yes,Yes,52,Yes,No,Fiber optic,83.05,4323.86,No
CUST00324,Female,0,No,No,51,Yes,No,DSL,108.56,5537.4,Yes
CUST00325,Female,0,Yes,No,53,Yes,No,Fiber optic,83.28,4415.64,No
CUST00326,Female,0,No,Yes,46,Yes,No,Fiber optic,86.41,3977.15,No
CUST00327,Male,0,No,No,42,Yes,No,Fiber optic,30.38,1268.06,No
CUST00328,Male,0,Yes,Yes,19,Yes,No,DSL,86.49,1646.67,Yes
CUST00329,Female,0,No,No,32,Yes,Yes,DSL,65.43,2093.33,No
CUST00330,Female,0,Yes,Yes,15,Yes,Yes,DSL,85.14,1279.15,No
CUST00331,Male,0,Yes,No,6,Yes,No,DSL,52.62,316.98,No
CUST00332,Male,0,Yes,Yes,69,Yes,No,No,78.15,5397.61,No
CUST00333,Female,0,Yes,No,20,Yes,No,Fiber optic,62.41,1244.57,No
CUST00334,Male,0,No,No,35,Yes,No,Fiber optic,75.86,2652.57,No
CUST00335,Female,0,Yes,No,53,Yes,No,Fiber optic,34.71,1837.46,Yes
CUST00336,Female,1,Yes,No,18,Yes,No,Fiber optic,59.58,1077.69,No
CUST00337,Male,1,No,No,24,Yes,No,No,57.43,1376.94,No
CUST00338,Male,0,No,No,66,No,No,DSL,93.64,6173.78,No
